E-Number,Name,Alternative Name,Function,Status,Source,Health Info,Uses,Link
E-number: 141, Copper phaeophytinsAlternative Names :C.I. 75810; Copper complexes of Chlorophyll & Chlorophyllins.Function: ColouringStatus:HalaalSource: Chlorophyll.,"Uses:Soup, sauce, natural fruits in liquid",,Halaal,Chlorophyll.,Health Code: Greensafe in food use,"Soup, sauce, natural fruits in liquid",https://sanha.org.za/2009/12/17/e141-copper-phaeophytins/
E-number: 1410," Monostarch PhosphateAlternative Names :N/AFunction: Thickener, StabiliserStatus:HalaalSource: Esterification of food starches with phosphates.",Uses:Various foods,,Halaal,Esterification of food starches with phosphates.,Health Code: YellowUncertainities exist about the safety of modified starches especially in infants,Various foods,https://sanha.org.za/2009/12/17/e1410-monostarch-phosphate/
E-number: 1412," Distarch PhosphateAlternative Names :N/AFunction: Thickener, StabiliserStatus:HalaalSource: Esterification of food starches with phosphates.","Uses:Fruit pie fillings, instant puddings, instant desserts, sauces, soup mixOther Uses: Cosmetics, water softener",,Halaal,Esterification of food starches with phosphates.,Health Code: YellowUncertatinities exist about the safety of modified starches especially in infants,"Fruit pie fillings, instant puddings, instant desserts, sauces, soup mixOther",https://sanha.org.za/2009/12/17/e1412-distarch-phosphate/
E-number: 1414," Acetylated Distarch PhosphateAlternative Names :N/AFunction: Thickener, StabiliserStatus:HalaalSource: Esterification of food starches with phosphates & acetates.","Uses:sauce, pickles, yoghurt, dry cake mix, canned fruits, pie fillings",,Halaal,Esterification of food starches with phosphates & acetates.,Health Code: YellowUncertainities exist about the safety of modified starches especially in infants,"sauce, pickles, yoghurt, dry cake mix, canned fruits, pie fillings",https://sanha.org.za/2009/12/17/e1414-acetylated-distarch-phosphate/
E-number: 142, Green SAlternative Names :Acid Brilliant Green; Food Green S; Lissamine Green; C.I. 44090Function: ColouringStatus:HalaalSource: synthetic chemical.,"Uses:Canned peas, mint sauce, packet cheesecake mixOther Uses: Textile industry",,Halaal,synthetic chemical.,"Health Code: RedHyperactivity, asthma, skin rashes, insomnia, see Coal Tar","Canned peas, mint sauce, packet cheesecake mixOther",https://sanha.org.za/2009/12/17/e142-green-s/
E-number: 1420," Acetylated StarchAlternative Names :Starch acetate.Function: Thickener, Vegetable gumStatus:HalaalSource: Esterification of food starches with acetates.","Uses:Sauces, chutney, desserts, baked products, confectionery",,Halaal,Esterification of food starches with acetates.,Health Code: YellowUncertatinities exist about the safety of modified starches especially in infants,"Sauces, chutney, desserts, baked products, confectionery",https://sanha.org.za/2009/12/16/e1420-acetylated-starch/
E-number: 1421, Acetylated StarchAlternative Names :monostarch acetateFunction:Status:HalaalSource: Source: starch modified with vinyl acetate.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e1421-acetylated-starch/
E-number: 1422," Acetylated Distarch AdipateAlternative Names :N/AFunction: Thickener, StabiliserStatus:HalaalSource: Esterification of food starches with adipic anhydride & acetic anhydride.","Uses:sauces, pickles, yoghurt, dry cake, mix, canned fruits, pie fillings",,Halaal,Esterification of food starches with adipic anhydride & acetic anhydride.,Health Code: YellowUncertatinities exist about the safety of modified starches especially in infants,"sauces, pickles, yoghurt, dry cake, mix, canned fruits, pie fillings",https://sanha.org.za/2009/12/16/e1422-acetylated-distarch-adipate/
E-number: 143, Fast Green FCFAlternative Names :Food green 3; FD&C Green No. 3; Green 1724; Solid Green FCF; C.I. 42053.Function:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e143-fast-green-fcf/
E-number: 1440," Hydroxypropyl StarchAlternative Names :N/AFunction: Thickener, Vegetable gumStatus:HalaalSource: Esterification of food starches with propylene oxide.","Uses:sauces, pickles, yoghurt, dry cake mix, canned fruits, pie fillings",,Halaal,Esterification of food starches with propylene oxide.,Health Code: YellowUncertainities exist about the safety of modified starches especially in infants,"sauces, pickles, yoghurt, dry cake mix, canned fruits, pie fillings",https://sanha.org.za/2009/12/16/e1440-hydroxypropyl-starch/
E-number: 1442," Hydroxypropyl Distarch PhosphateAlternative Names :N/AFunction: Thickener, EmulsifierStatus:HalaalSource: Esterification of food starches with phosphates & propylene oxide.","Uses:Canned soups, frozen desserts, sauces, cake mix",,Halaal,Esterification of food starches with phosphates & propylene oxide.,Health Code: YellowUncertainities exist about the safety of modified starches especially in infants,"Canned soups, frozen desserts, sauces, cake mix",https://sanha.org.za/2009/12/16/e1442-hydroxypropyl-distarch-phosphate/
E-number: 1450," Starch Sodium Octenyl SuccinateAlternative Names :SSOS.Function: Thickener, StabiliserStatus:HalaalSource: Esterification of food starches with octenyl succinic anhydride.","Uses:Essence, salad dressing, beverage whitener",,Halaal,Esterification of food starches with octenyl succinic anhydride.,Health Code: YellowUncertainities exist about the safety of modified starches especially in infants,"Essence, salad dressing, beverage whitener",https://sanha.org.za/2009/12/16/e1450-starch-sodium-octenyl-succinate/
E-number: 1451," Acetylated Oxidised StarchAlternative Names :N/AFunction: Thickener, StabiliserStatus:HalaalSource: Esterification of food starches with phosphates & acetates.","Uses:Canned food for infants and young children, confectionery",,Halaal,Esterification of food starches with phosphates & acetates.,Health Code: YellowUncertatinities exist about the safety of modified starches especially in infants,"Canned food for infants and young children, confectionery",https://sanha.org.za/2009/12/16/e1451-acetylated-oxidised-starch/
E-number: 150, Caramel Colour (Sulphite Ammonia)Alternative Names :N/AFunction: ColouringStatus:HalaalSource: synthetic chemical.,"Uses:Stout, cola drinks, chocolate, gravy browning, jams, confectionery",,Halaal,synthetic chemical.,"Health Code: YellowHyperactivity, soft to liquid stools & increased bowel movements, blood toxicity in rats, inhibits metabolism of B6 in rabbits, serious doubts exist on safety","Stout, cola drinks, chocolate, gravy browning, jams, confectionery",https://sanha.org.za/2009/12/16/e150-caramel-colour-sulphite-ammonia/
E-number: 150(a), Caramel Colour (Plain-Spirit)Alternative Names :N/AFunction: ColouringStatus:HalaalSource: synthetic chemical.,"Uses:Brown bread, cola drinks, chocolate, ice cream, jams, sweets",,Halaal,synthetic chemical.,"Health Code: YellowGastrointestinal problems, needs to be tested for mutagenic, teratogenic, subacute and reproductive effects","Brown bread, cola drinks, chocolate, ice cream, jams, sweets",https://sanha.org.za/2009/12/16/e150a-caramel-colour-plain-spirit/
E-number: 150(b)," Caramel Colour (Caustic Sulphite)Alternative Names :N/AFunction: Colouring, FlavouringStatus:HalaalSource: synthetic chemical.","Uses:Whisky, brandy, ice cream",,Halaal,synthetic chemical.,"Health Code: YellowHyperactivity, may affect liver, stomach problems","Whisky, brandy, ice cream",https://sanha.org.za/2009/12/16/e150b-caramel-colour-caustic-sulphite/
E-number: 150(c), Caramel Colour (Ammonia)Alternative Names :N/AFunction: ColouringStatus:HalaalSource: synthetic chemical,"Uses:Soy sauce, oyster sauce, biscuits, jams, dark bread, pickles, chocolate, coatings",,Halaal,synthetic chemical,"Health Code: RedHyperactivity, may affect liver, stomach, reproduction, caused convulsions in some animal tests, blood toxicity in rats","Soy sauce, oyster sauce, biscuits, jams, dark bread, pickles, chocolate, coatings",https://sanha.org.za/2009/12/16/e150c-caramel-colour-ammonia/
E-number: 150(d), Sulphite Ammonia CaramelStatus:Halaal,,,Halaal,,,,https://sanha.org.za/2009/12/16/e150d-sulphite-ammonia-caramel/
E-number: 1505," Triethyl CitrateAlternative Names :Ethyl citrate; citric acid ethyl ester.Function: Thickener, SequestrantStatus:HalaalSource: Triethyl ester of citric acid.","Uses:Processed egg whites, smoke flavourOther Uses: Nail polish, perfume base",,Halaal,Triethyl ester of citric acid.,"Health Code: GreenCan provoke symptoms in those who react to MSG, citrates may interfere with the results of laboratory tests for blood, liver and pancreatic function","Processed egg whites, smoke flavourOther",https://sanha.org.za/2009/12/16/e1505-triethyl-citrate/
E-number: 151, Black PNAlternative Names :Brilliant Black PN; C.I. 28440Function: ColouringStatus:HalaalSource: synthetic chemical,"Uses:Blackcurrant cake mix, brown sauce, eggnog, drinking yoghurt",,Halaal,synthetic chemical,"Health Code: Red++asthma, hyperactivity, may affect kidneys, stomach, NRC, carcinogenic","Blackcurrant cake mix, brown sauce, eggnog, drinking yoghurt",https://sanha.org.za/2009/12/16/e151-black-pn/
E-number: 1519, Benzyl AlcoholAlternative Names :Benzenemethanol; phenylcarbinol; phenylmethanol; alpha-hydroxy toluene.Function:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e1519-benzyl-alcohol/
E-number: 152, Black 7984Alternative Names :Food Black 2; C.I. 27755.Function:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e152-black-7984/
E-number: 1520," Propylene GlycolAlternative Names :1,2-Propanediol; methyl glycol; 1,2-dihydroxypropane; Propan-1,2-diol.Function: Humectant, SolventStatus:HalaalSource: synthetic chemical.","Uses:Confectionery, baked goods, chocolate products, sweetened coconut, toppingsOther Uses: Suntan lotion, toothpaste, lipstick, baby lotion, pesticides, antifreeze",,Halaal,synthetic chemical.,"Health Code: RedContact dermatitis, lactic acidosis, dry skin, respiratory, immuno- and neurotoxicity, CNS depression and kidney damage in animals","Confectionery, baked goods, chocolate products, sweetened coconut, toppingsOther",https://sanha.org.za/2009/12/16/e1520-propylene-glycol/
