Serial Number,Establishments with Certified Products,Certified Products,Category,Certificate Number,Date of Issue,Date of Expiry,Remark
347,"Chuan Dai Enterprise CO., Ltd. 川代企業有限公司","Coating Juice series, Agar Jelly series.（Total 19 Items）魔豆系列、水晶系
列
（共十七項產品）",Leisure Food,TP23301060124-1,2024/01/02,2026/01/01,(續)
348,"Chuan Dai Enterprise CO., Ltd. 川代企業有限公司","Coffee popping pearls (3.2KG±50g/barrel, 3.2KG/barrel)（Total 1 Item）濃
縮
咖啡魔豆 (3.2公斤±50克/桶、3.2公斤/桶)（共一項產品）",Leisure Food,TP23301060124-2,2024/01/02,2026/01/01,(續)
349,"Ditiantai Enterprise Co., Ltd. 地天泰實業股份有限公司","PEARL (3kg/bag), DITIANTAI TAPIOCA PEARL (3kg±2%/bag), Black
tea Tapioca pearl (65g/bag), Brown Sugar Tapioca pearl (65g/bag), Frozen
Tapioca pearl (60g/bag), CHA-BON-BON Tapioca Ball (5LB±10%/bag).（
Total 6
Items）粉圓(3公斤/袋)、地天泰珍珠粉圓(3公斤±2%/袋)、紅茶粉圓
(65g/
包)、黑糖粉圓(65g/包)、冷凍粉圓(60g/包)、正典系列® 黑珍珠(波霸
)(5LB
±10%/袋)（共六項產品）",Leisure Food,TP24601060224,2024/02/12,2026/02/11,(續)
350,"San Shu Gong Food Co., Ltd. 三叔公食品股份有限公司",Mochi series（Total 72 Items）麻糬系列（共七十二項產品）,Leisure Food,CP25202060524,2024/05/10,2025/05/09,(續)
351,"San Shu Gong Food Co., Ltd. 三叔公食品股份有限公司","Candy Snack series, Jelly series, Egg Roll series, Baked Snack series, Grains
Snack series.（Total 45 Items）糖果點心系列、果凍系列、蛋捲系列、烘
焙
點心系列、穀物點心系列（共四十五項產品）",Leisure Food,CP25203060524,2024/05/10,2025/05/09,(續)
352,"Shun Tai Food Co., Ltd. 順泰蜜餞食品股份有限公司",Confiture series（Total 14 Items）蜜餞系列（共十四項產品）,Leisure Food,TP25901060324,2024/03/19,2026/03/18,(續)
353,UTC Foods Corporation 聯夏食品工業股份有限公司,"Sauce series, Jelly series, Other series.（Total 25 Items）醬料系列、果凍
系
列、其他系列（共二十五項產品）",Leisure Food,CP29206060724,2024/07/16,2025/07/15,(續)
354,"Pei Tien Food Co., Ltd. 北田食品股份有限公司","Rice Sticks series, Rice Roll series, Rice Cake series, Other series.（Total
49
Items）米棒系列、米捲系列、米餅系列、其他系列（共四十九項產品
）",Leisure Food,TP32302060624,2024/06/25,2025/06/24,(續)
355,"Ke Ta Foods Co., Ltd. 愷達食品有限公司",Coconut Jelly series（Total 20 Items）椰果系列（共二十項產品）,Leisure Food,TP34101060124,2024/01/09,2026/01/08,(續)
356,"Taiwon Food Industrial Co., Ltd. 臺旺食品工業股份有
限公司","Leisure Food series, Instant Drink series, Seasoning Powder series,
Convenience Food series, Food Material Powder series, Other series.（Total
43 Items）休閒",Leisure Food,CP34201060125,2025/01/12,2026/01/11,(續)
357,"Daily Food Co., Ltd. 德一食品工業股份有限公司","Soda C racker series, Square Cookies series, Sachima series, Rice Cracker
series.
（Total 40 Items）蘇打餅系列、方塊酥系列、沙琪瑪系列、米菓子系列
（共四十項產品）",Leisure Food,CP34801060125,2025/01/23,2027/01/22,(續)
358,"Great Eastern Food Co., Ltd. 大東羊食品工業股份有限
公司","Konjac series, Fruit Syrup series, Jelly series.（Total 115 Items）蒟蒻系列
、果
漿系列、果凍系列（共一百一十五項產品）",Leisure Food,TP35701060225,2025/02/09,2026/02/08,(續)
359,"Guan Jun Food., Ltd. 冠均食品有限公司","Jelly & Agar series, Nata De Coco series.（Total 48 Items）蒟蒻&寒天系列
、
椰果系列（共四十八項產品）",Leisure Food,CP36201060225,2025/02/17,2026/02/16,(續)
360,"Comestibles Master Co., Ltd. 美食達人股份有限公司","Chees e Cake (1SET/BOX), Boston Cake (1SET/BOX), Chocolate Cheese
Cake
(1SET/BOX), Chocolate Marble Cake (1SET/BOX), Pudding Sponge Cake
(1SET/BOX), 85℃ Coffee Bean (10 bags / box, 908g / bag) (Total 6 Items)
原
味起士8吋(1組/盒)、特級波士頓8吋(1組/盒)、巧克力起士6吋(1組/
盒)、巧克力大理石6吋(1組/盒)、古早味布丁蛋糕7吋(1組/盒)、85度
C咖啡豆(10包/ 箱、908g/包) (共六項產品)",Leisure Food,CP38401060723,2023/07/07,2025/07/06,(續)
361,"Taiwan Golden Buckwheat Co., Ltd. 台灣黃金蕎麥有限
公司",Buckwheat Seaweed series (Total 7 Items) 蕎麥海苔系列 (共七項產品),Leisure Food,CP38801060723,2023/07/09,2025/07/08,(續)
362,"Taiwan Mescon Biochemistry Technology Co., Ltd. 台灣
美是康生化科技有限公司","OptriM ax Plum (460g(30 sachets)/box, 150g(10 sachets)/box), OptriMax
Plum
Delite (460g(30 sachets)/box, 150g(10 sachets)/box), OptriMax Buah Plum
K ering (420g(28 sachets)/box, 150g(10 sachets)/box), Avance HA Jelly (13g
×
21 Sticks/box), Avance HA Jelly (273g (13g×21 Sticks/box)), Avance Hydro
Aqua (13g ×21 Sticks/box) (Total 6 Items) 無中文品名、無中文品名、無
中文
品名、AVANCE HA晶棒果凍(13克/21條/盒)、無中文品名、無中文品
名
(共六項產品)",Leisure Food,CP39501060723,2023/07/23,2025/07/22,(續)
363,"Hunya Foods Co., Ltd. 宏亞食品股份有限公司","SNACK PELLET (15 kg(2 bags)/carton)（Total 1 Item）URC玉米四層胚
(15
公斤(2包)/箱)（共一項產品）",Leisure Food,CP39902060125,2025/01/30,2027/01/29,(續)
364,"K.K.ORCHARD Co., Ltd. 瓜瓜園企業股份有限公司",Sweet Potato series（Total 6 Items）地瓜系列（共六項產品）,Leisure Food,CP40401060924,2024/09/04,2026/09/03,(續)
365,"K.K.ORCHARD Co., Ltd. 瓜瓜園企業股份有限公司","Sweet P otato Processed Products series, Sweet Potato Fries series, Sweet
Potato
Powder series（Total 35 Items）地瓜加工品系列、地瓜薯條系列、地瓜
粉系
列（共三十五項產品）",Leisure Food,CP40402061024,2024/10/20,2025/10/19,(續)
366,"Hung Yu Agriculture Biotech Enterprise Ltd. 宏宇農產
生技企業有限公司","Dried F ruit series, Fruit & Vegetable Chips series, Dried Konjac series,
Other
series.（Total 250 Items）果乾系列、蔬果脆片系列、蒟蒻干系列、其他
系
列（共二百五十項產品）",Leisure Food,CP43401061224,2024/12/29,2025/12/28,(續)
367,"San Li Food Co., Ltd. 三力食品有限公司",Jelly series（Total 11 Items）果凍系列（共十一項產品）,Leisure Food,CP45601060424,2024/04/26,2025/04/25,(續)
368,"Kuo Yuan Ye Foods Co., Ltd. 郭元益食品股份有限公
司","Shortcake & Cookie series（Total 16 Items）酥餅&餅乾系列（共十六項
產品）",Leisure Food,LP46401060624,2024/06/07,2025/06/06,(續)
369,"Vigor Kobo Co., Ltd. 維格餅家股份有限公司",Cake series（Total 13 Items）糕餅系列（共十三項產品）,Leisure Food,CP46701060624,2024/06/17,2025/06/16,(續)
370,"Hwa Mei Food Co., Ltd. 樺美食品股份有限公司",Ice Cream series (Total 31 Items) 冰淇淋系列(共三十一項產品),Leisure Food,CP47001060623,2023/06/27,2025/06/26,(續)
371,Jih Hsiang Food Products Factory 日香食品廠,Biscuits series（Total 28 Items）餅乾系列（共二十八項產品）,Leisure Food,CP50401061124,2024/11/04,2025/11/03,(續)
372,"Ho Ching Biotech Co., Ltd. 和旌生物科技有限公司","Instant Powder series, Instant Boba series.（Total 18 Items）沖泡粉系列、
即
食珍珠系列（共十八項產品）",Leisure Food,CP52001060125,2025/01/17,2026/01/16,(續)
373,"Ku-Feng Food Industry Co., Ltd. 穀豐食品工業有限公
司","Grains series, Grains Powder series.（Total 36 Items）穀類系列、穀粉系
列（
共三十六項產品）",Leisure Food,CP52801060225,2025/02/22,2027/02/21,(續)
374,"Hae Shian Food Co., Ltd. 海仙食品有限公司","Seaweed Series, Seaweed Gift Box series（Total 24 Items）海苔系列、海
苔禮
盒系列（共二十四項產品）",Leisure Food,CP54301060424,2024/04/24,2025/04/23,(續)
375,Hsuan Yao Limited Corporation 軒曜有限公司,"Nougat series, Crispy series, Walnut Cake series, Candy series, Sachima series
（
Total 8 Items）牛軋糖系列、酥餅系列、核桃糕系列、軟糖系列、沙琪
瑪系列（共八項產品）",Leisure Food,CP56201060724,2024/07/07,2026/07/06,(續)
376,"Mei Yuan Preserved Foods Co., Ltd. 美元蜜餞食品有限
公司","Confiture series, Other series.（Total 62 Items）蜜餞系列、其他系列（共
六
十二項產品）",Leisure Food,CP66901060824,2024/08/28,2026/08/28,(續)
377,"Longevity Fruit Co., Ltd. 萬壽果有限公司",Peanuts series（Total 14 Items）花生系列（共十四項產品）,Leisure Food,TP67901060924,2024/09/19,2025/09/18,(續)
378,"Shan Yuan Food Co., Ltd. 上緣食品企業有限公司",Topping series（Total 17 Items）配料系列（共十七項產品）,Leisure Food,TP71401060523,2023/05/08,2025/05/07,(續)
379,"Chin Jun I Enterprise Co., Ltd. 金潤益企業股份有限公
司","Grain Powder series, Sesame Seeds series, Sesame Oil series, Sesame Sauce
series, Other series (Total 85 Items) 穀粉系列、芝麻粒系列、芝麻油系列
、
芝麻醬系列、其他系列 (共八十五項產品)",Leisure Food,TP72501060523,2023/05/29,2025/05/28,(續)
380,"Snacker Food Co., Ltd. 佳瑞發實業有限公司","SNACKER FOOD- Puffed Red Wheat-Brown Sugar Flavor (7catty/bag,
7catty*4bags/carton) (Total 1 Item) 佳瑞發-黑糖紅麥(7台斤/包、7台斤*4
包/ 箱) (共一項產品)",Leisure Food,TP77002060523,2023/05/17,2025/05/16,(續)
381,"Shuang Yeh Foods Co., Ltd. 雙葉食品股份有限公司",Frappe serie（Total 19 Items）冰沙系列（共十九項產品）,Leisure Food,CP80101060824-1,2024/08/12,2025/08/11,(續)
382,"Shuang Yeh Foods Co., Ltd. 雙葉食品股份有限公司",Tapioca Pearl series （Total 6 Items）珍珠系列（共六項產品）,Leisure Food,CP80101060824-2,2024/08/12,2025/08/11,(續)
383,"Shuang Yeh Foods Co., Ltd. 雙葉食品股份有限公司","Ice Cream, Bar series （Total 2 Items） 雪糕系列（共二項產品）",Leisure Food,CP80101060224-3,2024/08/12,2025/08/11,(續)
384,"Hua Yi Duo International Co., Ltd. 花伊朵國際有限公
司","Brown Sugar Brick series, Brown Sugar Jelly series, Sugar Diamond series,
Taiwan Brown Sugar series, Coconut Sugar series.（Total 38 Items）黑糖
磚系
列、黑糖寒天凍系列、糖鑽系列、台灣黑糖粉系列、椰子花蜜糖系列
（共三十八項產品）",Leisure Food,CP82001061224,2024/12/04,2025/12/03,(續)
385,"Fu Yi Wang Food Co., Ltd. 富亦旺食品有限公司",Coconut Jelly series（Total 7 Items）椰果系列（共七項產品）,Leisure Food,CP84501061024,2024/10/18,2026/10/17,(續)
386,"Snow Love Food Co., Ltd. 雪之戀食品有限公司","Baked Snack series, Grains Snack series.（Total 13 Items）烘焙點心系列、
穀
物點心系列（共十三項產品）",Leisure Food,CP88001060524,2024/05/10,2025/05/09,(續)
387,"E-Sea Co., Ltd. 邑熹股份有限公司",Biscuits series（Total 6 Items）餅乾系列（共六項產品）,Leisure Food,CP88901060724,2024/07/05,2025/07/04,(續)
388,"Yunlin County Shimiao Grain Production Cooperative 保
證責任雲林縣石廟雜糧生產合作社","Bean Curd Skin series, Bean Roll series.（Total 4 Items）豆包系列、豆腸
系列
（共四項產品）",Leisure Food,CP91101060324,2024/03/29,2026/03/28,(續)
389,"An Bao Foods Co., Ltd. 安堡食品股份有限公司",Biscuits series（Total 15 Items）餅乾系列（共十五項產品）,Leisure Food,CP92201060824,2024/08/07,2025/08/06,(續)
390,"Chun Xin Bakery Enterprise Co., Ltd. 純新烘焙事業有
限公司",Milk Stick series（Total 12 Items）牛奶棒系列（共十二項產品）,Leisure Food,CP95301060824,2024/08/26,2025/08/25,
391,Better For You Corporation 貝特福優股份有限公司,Pop Rice series（Total 4 Items）米米花系列（共四項產品）,Leisure Food,CP95501060924,2024/09/02,2025/09/01,
392,"Muguo Organic International Co., Ltd. 牧菓國際有限公
司",Rice Crackers series（Total 15 Items）米菓系列（共十五項產品）,Leisure Food,CP95801061124,2024/11/19,2025/11/18,
393,"Cheng Song Tay Foods Industrial Co., Ltd. 誠松泰食品
工業股份有限公司","Plum Powder series, Plum Drinks series, Plum Cuisine series, Plum series.（
Total 26 Items）梅粉系列、梅子飲品系列、梅子料理系列、梅子食品系
列
（共二十六項產品）",Leisure Food,CP96301060225,2025/02/04,2026/02/03,
394,"Chinyi Eggs Technology Corporation 勤億蛋品科技股份
有限公司","Wash Egg series, Liquid Egg series（Total 24 Items）洗選蛋系列、蛋液
系列
（共二十四項產品）",Food Material,AP01001070224,2024/02/02,2026/02/01,(續)
395,"Yida Liyan Co., Ltd. 益大理研股份有限公司","Tofu Skin series, Tofu series, Other series（Total 60 Items）豆皮系列 、豆
腐
系列、其他系列（共六十項產品）",Food Material,AP01601070624,2024/06/11,2026/06/10,(續)
396,Luxe Enterprises Ltd. 陸仕企業股份有限公司,Noodles series（Total 11 Items）麵條系列（共十一項產品）,Food Material,AP01902071224,2024/12/03,2025/12/02,
397,Flavor Full Foods Inc. 富味鄉食品股份有限公司,"Sesame Oil & Sesame Sauce series, Sesame Seeds & Sesame Powder series,
Crude series.（Total 177 Items）芝麻油&芝麻醬系列、芝麻粒&芝麻粉
系
列、原油系列（共一百七十七項產品）",Food Material,AP04001070923,2023/09/07,2025/09/06,(續)
398,"Shimmer Food Co., Ltd. 昌明食品有限公司","eaca frozen smoke squid ring、tube or whole round (1000g/bag), frozen
smoke squid slice (600g/ bag), frozen prepared squid (Abalone Flavor)
(300g/bag).（
Total 3 Items）eaca 煙燻魷魚 (1000公克/包)、煙燻魷魚 (600公克/包)、
財-
貴妃鮑片 (300g公克/包)（共三項產品）",Food Material,AP04801071023,2023/10/24,2025/10/23,(續)
399,"Shuang Hong Sing Food Enterprise Co., Ltd. 双宏興食品
企業有限公司","Brewing Powder series, Food Additive series, Flavor series（Total 59 Items
）沖
泡粉系列、食品添加物系列、香料系列（共五十九項產品）",Food Material,AP05001071123,2023/11/02,2025/11/01,(續)
400,"Yen & Friends Enterprise Company Limited 元海鄉實業
股份有限公司","Frozen Seafood series, Prepared Seafood series.（Total 11 Items）冷凍海
產系
列、調理海產系列（共十一項產品）",Food Material,AP05401071124,2024/11/23,2026/11/22,(續)
401,"Lien Hwa Milling Corporation 聯華製粉食品股份有限
公司","Flour series, Spaghetti series.（Total 169 Items）麵粉系列、義大利麵系
列（
共一百六十九項產品）",Food Material,AP05601071123,2023/11/30,2025/11/29,(續)
402,"Huei-Young Enterprise Co., Ltd. 匯永實業股份有限公
司","Frozen Seafood series, Fish Floss series.（Total 26 Items）冷凍海鮮系列
、魚
鬆系列（共二十六項產品）",Food Material,SP05801071224,2024/12/18,2026/12/17,(續)
403,"Shih-Chuan Excellence Food Co., Ltd. 十全特好食品股
份有限公司","Miso & Sauce series, Fruit Vinegar series, Vinegar series, Jelly series, Juice
series.（Total 66 Items）味噌&醬料系列、水果醋系列、醋系列、果凍
系
列、果汁系列（共六十六項產品）",Food Material,AP06101071224,2024/12/26,2025/12/25,(續)
404,"Ten En Tapioca Foods Co., Ltd. 天恩粉圓股份有限公司",Tapioca Pearl series（Total 31 Items）珍珠系列（共三十一項產品）,Food Material,AP06201071224,2024/12/28,2025/12/27,(續)
405,"Talent Ingredients R&D Co., LTd. 太允國際股份有限公
司","Powder series, Syrup series, Puree series, Sauce series（Total 40 Items）粉
類系
列、糖漿系列、果膏系列、糖醬系列（共四十項產品）",Food Material,AP07901070325,2025/03/15,2027/03/14,(續)
406,"Surewin Food Technology Co., Ltd. 祥旺食品工業股份
有限公司","Egg Processed Food series（Total 20 Items）蛋加工食品系列（共二十項
產品）",Food Material,AP09201070423,2023/04/10,2025/04/09,(續)
407,"Legend Nutraceutical Co., Ltd. 立騏生技股份有限公司","Juice Powder series, Vegetable Powder series, Diary Powder series, Oil
Powder series, Flavor Powder series, Other series (Total 155 Items) 果汁粉
系列、蔬菜
粉系列、乳品粉系列、油粉系列、香料粉系列、其他系列 (共一百五十
五項產品)",Food Material,AP09801070423,2023/04/29,2025/04/28,(續)
408,"Tsan-Ho Food Industrial Co., Ltd. 燦和食品工業股份有
限公司","Bread crumbs & Premixed batter powders series（Total 30 Items）麵包粉
&預
拌粉系列（共三十項產品）",Food Material,AP10201070524,2024/05/20,2026/05/19,(續)
409,"Wu Chung Eatables Factory Co., Ltd. 伍中食品廠股份有
限公司","Vegetarian Food & Food Ingredients series, Sweet & Fruits series.（Total
53
Items）素食及食材系列、甜品水果系列（共五十三項產品）",Food Material,AP10501070524,2024/05/22,2026/05/21,(續)
410,"Chen Shin Food Factory Co., Ltd. 建新食品工業股份有
限公司","Vegetarian Canned Food series（Total 22 Items）素食罐頭系列（共二十
二項產品）",Food Material,AP10601070524,2024/05/23,2026/05/22,(續)
411,"Taiwan Sugar Corporation Sugar Business Division 台灣
糖業股份有限公司砂糖事業部","Solid Sugar series, Liquid Sugar series.（Total 11 Items）固態糖系列、液
態糖
系列（共十一項產品）",Food Material,CP12903071224,2024/12/05,2025/12/04,(續)
412,"Taiwan Sugar Corporation Sugar Business Division 台灣
糖業股份有限公司砂糖事業部",Oil series（Total 5 Items）油品系列（共五項產品）,Food Material,CP12904071224,2024/12/05,2025/12/04,(續)
413,"Taiwan Sugar Corporation Sugar Business Division 台灣
糖業股份有限公司砂糖事業部",Solid Sugar series（Total 4 Items）固態糖系列（共四項產品）,Food Material,CP12905070225,2025/02/23,2027/02/22,(續)
414,"Taiwan Sugar Corporation Sugar Business Division 台灣
糖業股份有限公司砂糖事業部","Solid Sugar series, Liquid Sugar series.（Total 5 Items）固態糖系列、液
態糖
系列（共五項產品）",Food Material,CP12906070225,2025/02/23,2027/02/22,(續)
415,"Taiwan Sugar Corporation Sugar Business Division 台灣
糖業股份有限公司砂糖事業部","Solid Sugar series, Ginger Tea series, Liquid Sugar series.（Total 15 Items
）固
態糖系列、薑母茶系列、液態糖系列（共十五項產品）",Food Material,CP12907070225,2025/02/23,2027/02/22,(續)
416,"Mau Lin Food Co., Ltd. 茂霖食品股份有限公司","Syrup series, Puree series, Jelly & Powder series (Total 58 Items) 糖漿系列
、果
泥系列、水晶&粉系列 (共五十八項產品)",Food Material,TP13701070623,2023/06/18,2025/06/17,(續)
417,"Gen Asia Biotech Co., Ltd. 詮亞股份有限公司","Fruit a nd Vegetable Powder series, Seasoning Powder series, Oil Powder
series
(Total 142 Items) 蔬果粉系列、調味粉系列、油粉系列（共一百四十二
項產品)",Food Material,TP14101070623,2023/06/21,2025/06/20,(續)
418,Fish Master Fishery Corp. 魚之達人水產股份有限公司,Frozen Fish series（Total 11 Items）冷凍魚系列（共十一項產品）,Food Material,TP14801070624,2024/06/25,2026/06/24,(續)
419,Companion Foods Corp. 良友國際食品股份有限公司,"Vegetarian Canned Food series（Total 10 Items）素食罐頭系列（共十項
產品）",Food Material,CP15201070724,2024/07/03,2026/07/02,(續)
420,New Cheng Corporation 新城國際實業股份有限公司,"Frozen Seasoned Seaweed series（Total 19 Items）冷凍調味海鮮系列（共
十九項產品）",Food Material,CP15801070724,2024/07/12,2026/07/11,(續)
421,"Gong cha International Co., Ltd. 貢茶國際股份有限公
司","Jam & Syrup series, Smoothie Powder & Flavor Powder series, Juice series,
Tea ser ies, Topping series, Brewing Powder & Grains Powder series, Coffee
series.
（Total113 Items）果醬&糖漿系列、冰沙粉&風味粉系列、果汁系列、
茶系列、配料系列、沖泡粉&五穀粉系列、咖啡系列（共一百一十三項
）",Food Material,CP16801070723,2023/07/30,2025/07/29,(續)
422,"Long Kow Foods Enterprise Corporation 龍口食品企業
股份有限公司",Bean Threads series (Total 50 Items) 粉絲系列(共五十項產品),Food Material,TP17401070823,2023/08/15,2025/08/14,(續)
423,"Golden Spring Noodles Food Co., Ltd. 金泉源麵食品有
限公司",Noodles series (Total 9 Items) 麵條系列(共九項產品),Food Material,CP18601070823,2023/08/30,2025/08/29,(續)
424,"Good Plenty Industrial Co., Ltd. 好得壯實業股份有限公
司","Fin Abalone series, Scallops XO Sauce series.(Total 12 Items) 魚翅鮑魚系
列、
干貝XO醬系列(共十二項產品)",Food Material,CP18702070923,2023/09/07,2025/09/06,(續)
425,"Hi Duo Bio Tec Business Co., Ltd. 喜多生物科技事業有
限公司","Syrup series, Other series.（Total 22 Items）糖漿系列、其他系列（共二
十二項產品）",Food Material,TP18901070924,2024/09/03,2025/09/02,(續)
426,"Soon Yi Superfrozen Co., Ltd. 順億超低溫冷凍股份有
限公司","Fro zen Tuna series, Frozen Squid series, Frozen Pacific Saury series (Total
24
Items) 冷凍鮪魚系列、冷凍魷魚系列、冷凍秋刀魚系列 (共二十四項產
品)",Food Material,TP20301070923,2023/09/14,2025/09/13,(續)
427,"Andes Food Co., Ltd. 安立司食品股份有限公司","TAPIOCA PEARLS (3000g/Bag), TAPIOCA PEARLS (WHITE)
(3kg/Bag),
TAPIOCA PEARLS (GOLDEN) (3kg/Bag).（Total 3 Items）珍珠粉圓
(3000g/袋)、珍珠粉圓(白) (3kg/袋)、珍珠粉圓(黃金) (3kg/袋)（共三項
產品）",Food Material,CP21001071025,2025/10/04,2027/04/13,(續)
428,"Tiger Brand Cheng Tung Industrial Co., Ltd. 虎牌正通實
業股份有限公司",Rice Noodles series（Total 31 Items）米粉系列（共三十一項產品）,Food Material,CP22401071124,2024/11/15,2026/11/14,(續)
429,"Tainan Eggs Co., Ltd. 臺南蛋品股份有限公司","Tainan-Folic acid egg (Egg) (324g /box) (Total 1 Item) 臺南蛋品超能葉酸
蛋
(雞蛋) (324g/盒裝) (共一項產品)",Food Material,TP22602070423,2023/04/12,2025/04/11,(續)
430,"Abfour Food Co., Ltd. 佑鎬國際食品有限公司","Salad dressing series, Cake series, Premix series（Total 16 Items）沙拉醬
系
列、糕餅系列、預拌粉系列（共十六項產品）",Food Material,TP23901070124,2024/01/24,2026/01/23,(續)
431,"Tian Yuan Fruit Juice Co., Ltd. 甜源生技股份有限公司","Syrup series, Toppings series, Tea series.（Total 238 Items）糖漿系列、配
料
系列、茶葉系列（共二百三十八項產品）",Food Material,TP24001070125,2025/01/27,2026/01/26,(續)
432,Goldencrops Corporation 鈺統食品股份有限公司,"Rice Made series, Oat series, Other series.（Total 72 Items）米製系列、燕
麥
系列、其他系列（共七十二項產品）",Food Material,TP24201070124,2024/01/27,2026/01/26,(續)
433,Goldencrops Corporation 鈺統食品股份有限公司,Grains series（Total 26 Items）五穀系列（共二十六項產品）,Food Material,TP24202070124,2024/01/27,2026/01/26,(續)
434,Goldencrops Corporation 鈺統食品股份有限公司,Plant Based Meat series（Total 10 Items）植物肉系列（共十項產品）,Food Material,TP24204070224,2024/02/02,2026/02/01,(續)
435,"Land Young Foods Co., Ltd. 蘭揚食品股份有限公司","魚卵系列、海產系列、沙拉系列、素食系列（共二百一十六項產品）
Roe
series, Marine Products series, Salad series, Vegetarian series.（Total 216
Items）",Food Material,CP25701070325,2025/03/12,2026/03/11,(續)
436,"Fairsen Foods Industry Co., Ltd. 惠昇食品股份有限公司","Jelly Po wder series, Brown Sugar Sauce series, Flavored Powder series,
Coffee
Powder and Milk Tea Powder series, Fruit and Vegetable Powder series,
Slushy
Powder series (Total 81 Items) 果凍粉系列、黑糖漿系列、調味粉系列、
咖
啡粉&奶茶粉系列、蔬果粉系列、冰沙粉系列 (共八十一項產品)",Food Material,TP26602070823,2023/08/16,2025/08/15,(續)
437,"Yui Jen Co., Ltd. 易展企業有限公司","Matcha Powder series, Bamboo Charcoal Powder series.（Total 52 Items）
抹茶
粉系列、竹炭粉系列（共五十二項產品）",Food Material,TP27501070425,2025/04/07,2026/04/06,(續)
438,"Lucky Royal Co., Ltd. 皇家可口股份有限公司","Sanuki Udon Noodle (180g×5pcs/bag, 200g×5pcs/bag, 240g×5pcs/bag)（
Total 1
Item）南僑讚岐烏龍麵 (180公克×5食入/包、200公克×5食入/包、240
公克× 5食入/包)（共一項產品）",Food Material,CP27901070523,2023/05/01,2025/04/30,(續)
439,"Ponto International Development CO., Ltd. 龐德國際開
發有限公司",Frozen Pancake series（Total 14 Items）冷凍餅系列（共十四項產品）,Food Material,CP28301070524,2024/05/19,2026/08/18,(續)
440,"Chyuan Kuang Provision Co., Ltd. 全廣食品有限公司",Vegetarian Food series（Total 40 Items）素食食品系列（共四十項產品）,Food Material,CP28502070824,2024/08/17,2025/08/16,(續)
441,"Lucky Holder Frozen Food Co., Ltd. 宏益冷凍食品股份
有限公司","Frozen Seafood series, Frozen Food series.（Total 26 Items）冷凍海鮮系列
、
冷凍食品（共二十六項產品）",Food Material,CP29102071124,2024/11/01,2026/10/31,(續)
442,UTC Foods Corporation 聯夏食品工業股份有限公司,"Sauce & Jelly series, Other series.（Total 8 Items）醬料&果凍系列、其他
系
列（共八項產品）",Food Material,CP29205070325,2025/03/16,2026/03/15,(續)
443,Peak One Int'l Corp. 品元國際股份有限公司,"Flying Fish Roe (Tobikko) series, Salad series, Seafood series, Other series
(Total 50 Items) 珍珠(飛)魚子系列、沙拉系列、海鮮系列、其他系列 (共
五十項產品)",Food Material,TP29601070623,2023/06/25,2025/06/24,(續)
444,"Fwusow Industry Co., Ltd. 福壽實業股份有限公司","Cereal Flake series, Vegetable Oil series.（Total 40 Items）麥片系列、植物
油
系列（共四十項產品）",Food Material,TP30601070823,2023/08/01,2025/07/31,(續)
445,Vedan Enterprise Corporation 味丹企業股份有限公司,Monosodium Glutamate series (Total 18 Items) 味精系列 (共十八項產品),Food Material,TP31201070823,2023/08/27,2025/08/26,(續)
446,"Fine Day Food Co., Ltd. 晴天美食股份有限公司","Topping series, Syrup & Juice series, Powder series.（Total 25 Items）配料
系
列、調味糖漿&果汁系列、粉體系列（共二十五項產品）",Food Material,TP33002071224,2024/12/01,2026/11/30,(續)
447,"Top Food Industry Corporation 台灣大食品股份有限公
司",Flour series（Total 287 Items）麵粉系列（共二百八十七項產品）,Food Material,TP34701070124,2024/01/19,2026/01/18,(續)
448,Chien Kuo Oil Mfg. Ind. Co. 建國製油工業有限公司,Oil series（Total 10 Items）油品系列（共十項產品）,Food Material,LP35001070125,2025/01/30,2027/01/29,(續)
449,"Hong Jie Biotechnology Co., Ltd. 宏傑生技有限公司",Tapioca Pearls series（Total 6 Items）粉圓系列（共六項產品）,Food Material,CP35101070124,2024/01/30,2026/01/29,(續)
450,"Fonen and Fonher Enterprise Co., Ltd. 豐年豐和企業股
份有限公司","Syrup series, Others series（Total 14 Items）糖漿系列、其它系列（共十
四項產品）",Food Material,CP35201070225,2025/02/03,2027/02/02,(續)
451,"Wen Chi Seafood Co., Ltd. 文鯕水產股份有限公司","Frozen Fish series, Other series.（Total 36 Items）冷凍海魚系列、其他系
列
（共三十六項產品）",Food Material,CP35301070225,2025/02/02,2027/02/01,(續)
452,Yeou-Fong Cane Sugar Refinery 有豐製糖有限公司,Syrup series（Total 10 Items）糖漿系列（共十項產品）,Food Material,CP36601070325,2025/03/27,2027/03/26,(續)
453,"Young Sun Frozen Foods Co., Ltd. 永昇冷凍食品工業股
份有限公司","TOPVALU Boiled Salted Edamame (400g/bag)（Total 1 Item）TOPVALU
塩
味えだまめ (400公克/包)（共一項產品）",Food Material,CP38701070724,2024/07/10,2026/07/09,(續)
454,"Young Sun Frozen Foods Co., Ltd. 永昇冷凍食品工業股
份有限公司",Green Soybeans series（Total 7 Items）毛豆系列（共七項產品）,Food Material,CP38702071124,2024/11/09,2026/11/08,(續)
455,"Jinn Horng Chemical Industrial Co., Ltd. 晉弘實業股份
有限公司",Syrup series (Total 13 Items) 糖漿系列 (共十三項產品),Food Material,CP39701070823,2023/08/06,2025/08/05,(續)
